!UB
          1.38335     2.77794e-17    -8.33382e-17
     -1.88405e-16         0.37058    -5.20685e-17
        5.087e-17               0        0.850343
!h	k	l	Delta   Theta     Chi     Phi     Mu   Gamma
0.5     6.5  0.4258   38.28963    19.14482     72.04181    62.36900    0.00000     0.00000
0.5     7.5  0.4258   43.91372    21.95686     74.31005    62.36900    0.00000     0.00000
0.5     8.5  0.4258   49.70924    24.85462     76.07969    62.36900    0.00000     0.00000
0.5     9.5  0.4258   55.68560    27.84280     77.49634    62.36900    0.00000     0.00000
0.5    10.5  0.4258   61.86271    30.93136     78.65473    62.36900    0.00000     0.00000
0.5    11.5  0.4258   68.27062    34.13531     79.61884    62.36901    0.00000     0.00000
0.5    12.5  0.4258   74.95096    37.47548     80.43334    62.36900    0.00000     0.00000
0.5    13.5  0.4258   81.96063    40.98031     81.13028    62.36900    0.00000     0.00000
0.5    14.5  0.4258   89.37853    44.68926     81.73322    62.36900    0.00000     0.00000

